Saudi.Arabia.Exports..Thousand.Barrels.Day.,Saudi.Arabia.Production..Thousand.Barrels.Day.,China.Import..Thousand.Barrels.Day.,India.Import..Thousand.Barrels.Day.,US.Import..Thousand.Barrels.Day.,Japan.Import..Thousand.Barrels.Day.,Korea.Import..Thousand.Barrels.Day.,GeoPol.Rating.x,Open..USD.,Volume,U.S..Imports.from.Saudi.Arabia..Thousand.Barrels.Day.,Saudi.Armco.Stock.Price..Riyal.,China..,India..,Saudi..,US..,OECD..,GeoPol.Rating.y,world.production,world.consumption,Predicted,Time,Data_Type
6582,9103,10731.8284,4658.5532,5845.0645,2583.0661,2479.8861,5.333333,48.4,7574920,207,28.93,18.7,2.29999,-1.535258578,1.19193505,0.15083326,4.545455,92.81,93.98,8934.64242454536,2021-01-01,Actual
5625,8147,11534.49,4010.0696,5620.7143,2513.6964,2659.7804,2,51.99,8065615,258,28.64,18.7,2.29999,-1.535258578,1.19193505,0.15083326,4.545455,92.81,93.98,8781.103307819116,2021-02-01,Actual
5427,8138,11725.9316,4341.4055,5799.2903,2020.0932,2319.8858,6,61.95,10167951,309,28.43,18.7,2.29999,-1.535258578,1.19193505,0.15083326,4.545455,92.81,93.98,8615.355016490048,2021-03-01,Actual
5408,8134,9847.84,4484.645,5822.0333,2581.4653,2748.5187,4.777778,59.49,8438272,291,29.55,8.3,22.16248,1.771834299,12.46085441,13.68073613,5,94.84,96.68,8451.049972333081,2021-04-01,Actual
5649,8544,9673.7342,4103.1881,5868.7742,2391.6839,2611.5952,6,63.64,8001095,255,29.26,8.3,22.16248,1.771834299,12.46085441,13.68073613,5,94.84,96.68,8699.209314198808,2021-05-01,Actual
5965,8927,9792.94,3907.3283,6647.5667,2028.4697,2672.1163,4.666667,66.68,8261945,436,29.17,8.3,22.16248,1.771834299,12.46085441,13.68073613,5,94.84,96.68,9385.319376341944,2021-06-01,Actual
6327,9474,9737.9613,3570.6461,6394.9032,2057.181,2517.2116,5.777778,73.5,8643164,338,29.01,5.2,8.984,4.266683362,4.955654481,5.067273727,6.52381,96.75,98.47,9681.80186439131,2021-07-01,Actual
6450,9562,10514.8258,4133.3813,6236.5161,2792.0413,2584.7303,6.8,61.98,6478998,357,28.76,5.2,8.984,4.266683362,4.955654481,5.067273727,6.52381,96.75,98.47,9608.559734268125,2021-08-01,Actual
6516,9662,10016.2,4325.6987,6526.1333,2533.5603,2597.6793,7.285714,68.55,8102078,491,28.97,5.2,8.984,4.266683362,4.955654481,5.067273727,6.52381,96.75,98.47,9615.138087023486,2021-09-01,Actual
6833,9780,8925.6774,4061.821,5971.3548,2606.8403,2746.1571,7.25,75.12,9725158,353,29.67,4.3,4.54086,2.382212793,5.717100091,5.363778979,6.75,98.34,99.36,9675.778829930721,2021-10-01,Actual
